lat,lon,adr,name,start_t,end_t,mood_date,mood
40.8474843,14.2455554,"Piazza Montesanto, 25 80135 Napoli NA Italia",Istituto Paritario Bianchi dei Padri Barnabiti,2019-04-23T07:28:23Z,2019-04-23T07:44:10.893Z,2019-04-23,rad
40.8043318,14.1736604,"Via Coroglio, 57/104 80124 Napoli NA Italy",Città della Scienza,2019-04-23T08:15:27.992Z,2019-04-23T08:45:26.290Z,2019-04-23,rad
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-04-23T09:22:40.479Z,2019-04-23T14:24:50.866Z,2019-04-23,rad
40.8410548,14.2517785,"Via Incoronata, 14/16 80133 Napoli NA Italia",Sole 365,2019-04-23T14:29:38.424Z,2019-04-23T15:03:16.765Z,2019-04-23,rad
40.8414236,14.2510298,"Via Miguel Cervantes de Saavedra, 66 80133 Napoli NA Italia",'O Macarò,2019-04-25T10:48:33.873Z,2019-04-25T11:55:19Z,2019-04-25,meh
40.8616167,14.2836509,"Via Grimaldi, E/5 80143 Napoli NA Italia",Procura della Repubblica di Napoli,2019-04-26T08:07:56.476Z,2019-04-26T08:35:02.270Z,2019-04-26,meh
40.8616167,14.2836509,"Via Grimaldi, E/5 80143 Napoli NA Italia",Procura della Repubblica di Napoli,2019-04-26T09:07:41.775Z,2019-04-26T10:14:49.780Z,2019-04-26,meh
40.8453322,14.2604631,"Università degli Studi di Napoli Via Nuova Marina, 59 80133 Napoli NA Italia",Università Degli Studi di Napoli L'Orientale - Palazzo del Mediterraneo,2019-04-29T09:22:49.535Z,2019-04-29T09:57:51.373Z,2019-04-29,good
40.8616167,14.2836509,"Via Grimaldi, E/5 80143 Napoli NA Italia",Procura della Repubblica di Napoli,2019-04-29T10:49:52.754Z,2019-04-29T11:00:30.851Z,2019-04-29,good
50.7274387,-1.8358721,677 Christchurch Rd Boscombe Bournemouth BH7 6AA UK,MELLO MELLO BAR,2019-08-01T11:12:36.867Z,2019-08-01T11:39:30.159Z,2019-08-01,rad
50.7213532,-1.8656533,"Lansdowne Roundabout Boscombe, Bournemouth BH1 3JJ UK",Bournemouth and Poole College,2019-08-01T16:44:20.394Z,2019-08-01T18:00:46.668Z,2019-08-01,rad
50.7220676,-1.8736624,Cameo 60 Fir Vale Rd Bournemouth BH1 2JA UK,Jaggers Comedy Club,2019-08-01T18:09:59.625Z,2019-08-01T20:39:17.445Z,2019-08-01,rad
50.7247701,-1.8672498,Cranborne House St Paul's Pl Boscombe Bournemouth BH8 8HF UK,Cranborne House,2019-08-01T20:46:50.840Z,2019-08-01T22:06:54.154Z,2019-08-01,rad
50.7247701,-1.8672498,Cranborne House St Paul's Pl Boscombe Bournemouth BH8 8HF UK,Cranborne House,2019-08-02T16:14:32.910Z,2019-08-02T16:36:25Z,2019-08-02,rad
50.7257932,-1.861362,44 St Swithun's Rd Boscombe Bournemouth BH1 3RJ UK,Bournemouth Pizza Co,2019-08-02T16:41:26.132Z,2019-08-02T17:52:57.131Z,2019-08-02,rad
50.7352306,-1.8382791,"Boscombe, Bournemouth BH7 7BT UK",Vitality Stadium,2019-08-02T18:26:08.288Z,2019-08-02T18:32:24Z,2019-08-02,rad
50.7352306,-1.8382791,"Boscombe, Bournemouth BH7 7BT UK",Vitality Stadium,2019-08-02T19:06:56.760Z,2019-08-02T19:47:46.844Z,2019-08-02,rad
50.7247701,-1.8672498,Cranborne House St Paul's Pl Boscombe Bournemouth BH8 8HF UK,Cranborne House,2019-08-02T21:22:10.302Z,2019-08-02T21:38:28.300Z,2019-08-02,rad
50.7216299,-1.874567,27 Fir Vale Rd Bournemouth BH1 2JN UK,27 Fir Vale Rd,2019-08-02T21:47:24.691Z,2019-08-03T06:52:21.970Z,2019-08-02,rad
50.7213532,-1.8656533,"Lansdowne Roundabout Boscombe, Bournemouth BH1 3JJ UK",Bournemouth and Poole College,2019-08-03T07:00:12Z,2019-08-03T07:26:45.607Z,2019-08-03,rad
51.7534694,-1.2699454,Park End St Oxford OX1 1HS UK,Oxford Station,2019-08-03T09:38:46.305Z,2019-08-03T09:56:39.337Z,2019-08-03,rad
51.7548164,-1.2543668,Oxford OX1 2JD UK,University of Oxford,2019-08-03T10:29:46.370Z,2019-08-03T11:10:30.272Z,2019-08-03,rad
51.7548164,-1.2543668,Oxford OX1 2JD UK,University of Oxford,2019-08-03T11:25:46.847Z,2019-08-03T12:00:51.746Z,2019-08-03,rad
51.7537322,-1.2607355,36 George St Oxford OX1 2BJ UK,Thaikhun,2019-08-03T12:06:01.694Z,2019-08-03T12:21:54Z,2019-08-03,rad
51.7524144,-1.2564412,"108-109, Covered Market Oxford OX1 3DZ UK",Ben's Cookies,2019-08-03T12:22:42Z,2019-08-03T12:49:25Z,2019-08-03,rad
51.7548164,-1.2543668,Oxford OX1 2JD UK,University of Oxford,2019-08-03T12:56:08Z,2019-08-03T15:06:54.024Z,2019-08-03,rad
51.7537322,-1.2607355,36 George St Oxford OX1 2BJ UK,Thaikhun,2019-08-03T15:17:33Z,2019-08-03T16:45:34.033Z,2019-08-03,rad
51.7534694,-1.2699454,Park End St Oxford OX1 1HS UK,Oxford Station,2019-08-03T16:54:18.778Z,2019-08-03T17:17:01.860Z,2019-08-03,rad
50.7272168,-1.8641023,Holdenhurst Rd Boscombe Bournemouth BH8 8HX UK,Bournemouth,2019-08-03T19:14:29.873Z,2019-08-03T19:22:36.983Z,2019-08-03,rad
50.7247701,-1.8672498,Cranborne House St Paul's Pl Boscombe Bournemouth BH8 8HF UK,Cranborne House,2019-08-03T19:30:35.102Z,2019-08-03T23:29:30.772Z,2019-08-03,rad
50.7216299,-1.874567,27 Fir Vale Rd Bournemouth BH1 2JN UK,27 Fir Vale Rd,2019-08-03T23:38:07.990Z,2019-08-04T09:25:39.767Z,2019-08-03,rad
50.7247701,-1.8672498,Cranborne House St Paul's Pl Boscombe Bournemouth BH8 8HF UK,Cranborne House,2019-08-04T09:34:28.024Z,2019-08-04T14:10:40.633Z,2019-08-04,good
50.7216299,-1.874567,27 Fir Vale Rd Bournemouth BH1 2JN UK,27 Fir Vale Rd,2019-08-04T14:16:28.824Z,2019-08-04T17:11:19.093Z,2019-08-04,good
50.7199539,-1.8789367,Bournemouth BH1 1DU UK,Bournemouth Square (Stand Y),2019-08-04T17:49:53.128Z,2019-08-04T17:56:08.288Z,2019-08-04,good
50.7216299,-1.874567,27 Fir Vale Rd Bournemouth BH1 2JN UK,27 Fir Vale Rd,2019-08-04T17:59:15.278Z,2019-08-05T10:06:27.279Z,2019-08-04,good
50.7217802,-1.8758491,Richmond Gardens Shopping Centre Old Christchurch Rd Bournemouth BH1 1EP UK,Richmond Gardens Shopping Centre,2019-08-05T10:44:58Z,2019-08-05T10:57:08.829Z,2019-08-05,good
50.7205707,-1.8846295,22 The Triangle Bournemouth BH2 5RQ UK,Bournemouth Library,2019-08-05T11:08:40.376Z,2019-08-05T12:27:09.442Z,2019-08-05,good
50.7214684,-1.8819268,Bournemouth BH2 5RP UK,"Cenotaph, Bournemouth War Memorial",2019-08-05T12:29:20.851Z,2019-08-05T13:42:23.598Z,2019-08-05,good
50.7188292,-1.8795516,Bh2 Leisure Exeter Cres Bournemouth BH2 5DD UK,BH2 Leisure,2019-08-05T13:42:46.778Z,2019-08-05T15:51:45.219Z,2019-08-05,good
50.7216198,-1.8745717,27 Fir Vale Rd Bournemouth BH1 2JN UK,Bournemouth City College,2019-08-05T15:55:27.580Z,2019-08-05T16:00:59.939Z,2019-08-05,good
50.7272168,-1.8641023,Holdenhurst Rd Boscombe Bournemouth BH8 8HX UK,Bournemouth,2019-08-05T16:35:32.573Z,2019-08-05T19:56:03.776Z,2019-08-05,good
50.907232,-1.4133646,Central Station Bridge Blechynden Terrace Southampton SO15 1AL UK,Southampton Central,2019-08-05T20:27:04.604Z,2019-08-05T20:35:01.327Z,2019-08-05,good
51.1536621,-0.1820629,Horley Gatwick RH6 0NP UK,Gatwick Airport,2019-08-05T22:50:42.356Z,2019-08-06T18:41:01.869Z,2019-08-05,good
51.1536621,-0.1820629,Horley Gatwick RH6 0NP UK,Gatwick Airport,2019-08-06T18:42:09.212Z,2019-08-06T18:51:17.089Z,2019-08-06,good
40.8847493,14.289243,Viale F. Ruffo di Calabria 80144 Napoli NA Italia,Naples International Airport,2019-08-06T21:46:29.035Z,2019-08-06T21:51:37.038Z,2019-08-06,good
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-06T22:44:13.169Z,2019-08-07T16:06:43.479Z,2019-08-06,good
40.8410548,14.2517785,"Via Incoronata, 14/16 80133 Napoli NA Italia",Sole 365,2019-08-07T16:08:44.958Z,2019-08-07T16:32:04.558Z,2019-08-07,rad
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-07T16:36:10.247Z,2019-08-07T19:30:15.792Z,2019-08-07,rad
40.8470936,14.2517471,"Piazza del Gesù Nuovo, 2 80134 Napoli NA Italia",Gesù Nuovo Square,2019-08-07T19:35:33.958Z,2019-08-07T19:51:38.785Z,2019-08-07,rad
40.8487574,14.2547426,"P.za S. Domenico Maggiore, 11 80134 Napoli NA Italia",San Domenico Café,2019-08-07T19:53:44.654Z,2019-08-08T00:48:24.807Z,2019-08-07,rad
40.8470936,14.2517471,"Piazza del Gesù Nuovo, 2 80134 Napoli NA Italia",Gesù Nuovo Square,2019-08-08T00:50:23.452Z,2019-08-08T00:55:42.838Z,2019-08-08,good
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-08T01:02:38.699Z,2019-08-09T10:38:13Z,2019-08-08,good
40.84373,14.2512253,"Piazza Matteotti, 2 80133 Napoli NA Italia",Poste Italiane,2019-08-09T10:39:17Z,2019-08-09T10:45:58.153Z,2019-08-09,good
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-09T10:47:59.250Z,2019-08-10T17:50:27.011Z,2019-08-09,good
40.8438566,14.2580572,"Via Nuova Marina, 5 80133 Napoli NA Italia",Gran Gusto,2019-08-10T18:01:15.315Z,2019-08-10T18:15:34.774Z,2019-08-10,good
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-10T18:25:46.181Z,2019-08-11T20:25:18.208Z,2019-08-10,good
40.8512676,14.2665869,"Via S. Candida, 4 80139 Napoli NA Italia",San Pietro ad Aram,2019-08-11T20:30:01.459Z,2019-08-11T20:38:11.697Z,2019-08-11,rad
40.7886779,14.0631441,"Via Miliscola, 57 80070 Monte di Procida NA Italia",Tibidabo Eventi Miliscola,2019-08-11T21:30:02.674Z,2019-08-11T23:22:07.150Z,2019-08-11,rad
40.8489606,14.232319,"Via Mario Fiore, 6 80129 Napoli NA Italia",A.O.R.N. Santobono-Pausilipon - Ospedale Santobono,2019-08-13T14:40:08.704Z,2019-08-13T15:02:50.658Z,2019-08-13,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-13T15:35:01.673Z,2019-08-13T18:07:06.770Z,2019-08-13,rad
40.9105952,14.2227447,"Via Pietro Nenni, 54 80018 Mugnano di Napoli NA Italia",Centro Commerciale Auchan Mugnano,2019-08-13T18:39:11Z,2019-08-13T19:26:26.420Z,2019-08-13,rad
40.894536,14.26953,"Via Cassano, 63 80020 Casavatore NA Italia",Ristorante Pizzeria e Girarrosto La Pagliarella,2019-08-13T19:51:07.926Z,2019-08-13T20:08:32.206Z,2019-08-13,rad
40.8987762,14.2495122,80144 Napoli NA Italia,Ghisler I - Parco Delle Palme isol. 6,2019-08-13T20:18:38.150Z,2019-08-13T20:33:33.478Z,2019-08-13,rad
40.9245507,14.2058512,"Via S. Giovanni a Campo, 9 80014 Giugliano in Campania NA Italia",Cantina Antica,2019-08-13T20:43:40.613Z,2019-08-13T23:02:58.530Z,2019-08-13,rad
40.9240896,14.1693254,"Via S. Francesco a Patria, 16 80014 Giugliano in Campania NA Italia",A La Belle Epoque Cafe 'Srl,2019-08-13T23:11:18.062Z,2019-08-13T23:51:14.392Z,2019-08-13,rad
40.8993645,14.2426109,Viale della Resistenza 80145 Napoli NA Italia,Park Ciro Esposito,2019-08-14T00:03:20.521Z,2019-08-14T00:13:33.310Z,2019-08-14,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-14T00:39:13.628Z,2019-08-14T10:25:07.965Z,2019-08-14,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-14T11:13:04Z,2019-08-14T16:45:47.480Z,2019-08-14,rad
40.9617413,14.0010918,Km 37.850 Via Domiziana 81030 Castel Volturno CE Italia,MD,2019-08-14T16:55:36.558Z,2019-08-14T17:31:22.322Z,2019-08-14,rad
40.9607761,14.0017789,81030 Ischitella Lido CE Italia,Tropical bar,2019-08-14T17:33:45.236Z,2019-08-14T17:47:34.421Z,2019-08-14,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-14T17:57:46.396Z,2019-08-15T09:43:20.577Z,2019-08-14,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-15T11:12:15.811Z,2019-08-16T11:19:09.836Z,2019-08-15,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-16T11:56:41.156Z,2019-08-16T17:18:35.180Z,2019-08-16,good
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-16T19:44:14.557Z,2019-08-17T17:34:06.722Z,2019-08-16,good
40.9725,13.9863495,"Viale degli Oleandri, 12 81030 Castel Volturno CE Italia",Il Mondo senza glutine - Castelvolturno,2019-08-17T17:40:10.820Z,2019-08-17T17:50:16.483Z,2019-08-17,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-17T17:58:15.360Z,2019-08-18T17:27:28.206Z,2019-08-17,rad
40.9607761,14.0017789,81030 Ischitella Lido CE Italia,Tropical bar,2019-08-18T17:37:40.940Z,2019-08-18T17:45:54.522Z,2019-08-18,rad
40.9761854,13.9917393,"Via Domiziana, 967 81030 Castel Volturno CE Italia",Centro Commerciale Giolì,2019-08-18T17:52:05.569Z,2019-08-18T18:13:23.063Z,2019-08-18,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-18T18:26:16.660Z,2019-08-18T23:02:24.730Z,2019-08-18,rad
40.972503,13.986005,"Viale degli Oleandri, 5/7 81030 Castel Volturno CE Italy",Il Boss Dei Cornetti,2019-08-18T23:10:34.173Z,2019-08-18T23:16:38.805Z,2019-08-18,rad
40.968168,13.9861439,"Via del Mare, 37 81030 Castel Volturno CE Italia",Blue Sky Beach (By Lido Arcobaleno),2019-08-18T23:30:48.306Z,2019-08-19T14:25:08.923Z,2019-08-18,rad
40.8489606,14.232319,"Via Mario Fiore, 6 80129 Napoli NA Italia",A.O.R.N. Santobono-Pausilipon - Ospedale Santobono,2019-08-19T15:19:10.108Z,2019-08-19T15:30:18.447Z,2019-08-19,rad
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-19T15:58:14.052Z,2019-08-20T16:13:03.928Z,2019-08-19,rad
40.8423139,14.2497858,"Via Roberto Bracco, 4/8 80100 Napoli NA Italia",CONAD,2019-08-20T16:17:01.733Z,2019-08-20T16:34:27.485Z,2019-08-20,good
40.8358256,14.2485831,Piazza del Plebiscito 80132 Napoli NA Italia,Piazza del Plebiscito,2019-08-24T14:15:50.956Z,2019-08-24T14:32:10.103Z,2019-08-24,rad
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-08-24T14:41:18.506Z,2019-08-24T15:18:33.781Z,2019-08-24,rad
40.6981178,14.7143559,"Via Raffaele Ragone, 39 84013 Cava de' Tirreni SA Italia",S.I.S. School Of International Studies S.R.L.,2019-08-24T15:56:15Z,2019-08-24T16:20:44.750Z,2019-08-24,rad
40.559015,15.3068314,Via Fontanella 84029 Sicignano degli Alburni SA Italia,Il posto giusto,2019-08-24T16:53:43.104Z,2019-08-24T19:22:16.053Z,2019-08-24,rad
40.8423139,14.2497858,"Via Roberto Bracco, 4/8 80100 Napoli NA Italia",CONAD,2019-08-25T11:31:55.528Z,2019-08-25T11:40:33.533Z,2019-08-25,rad
40.8410548,14.2517785,"Via Incoronata, 14/16 80133 Napoli NA Italia",Sole 365,2019-08-25T11:42:47.619Z,2019-08-25T12:05:00.107Z,2019-08-25,rad
40.8489606,14.232319,"Via Mario Fiore, 6 80129 Napoli NA Italia",A.O.R.N. Santobono-Pausilipon - Ospedale Santobono,2019-08-26T09:29:15.788Z,2019-08-26T10:07:25.088Z,2019-08-26,rad
40.8432872,14.2239322,80127 Napoli NA Italia,Via Cilea,2019-08-26T10:25:35.386Z,2019-08-26T10:59:27.807Z,2019-08-26,rad
40.7993019,14.1805091,Viale Virgilio 80123 Napoli NA Italia,Parco Virgiliano,2019-08-26T11:34:29Z,2019-08-26T11:47:04.407Z,2019-08-26,rad
40.7923894,14.1874345,Discesa Gaiola 80123 Napoli NA Italia,Marine Protected Area Gaiola Underwater Park,2019-08-26T12:05:15.072Z,2019-08-26T13:14:34Z,2019-08-26,rad
40.7923894,14.1874345,Discesa Gaiola 80123 Napoli NA Italia,Marine Protected Area Gaiola Underwater Park,2019-08-26T15:42:44.204Z,2019-08-26T16:58:03.368Z,2019-08-26,rad
40.8013554,14.1895148,80123 Napoli NA Italia,Discesa Coroglio - Marechiaro,2019-08-26T17:25:35.883Z,2019-08-26T18:03:27Z,2019-08-26,rad
40.8524329,14.2504504,"Via Ettore Bellini, 1 80135 Napoli NA Italia",Galleria Principe di Napoli,2019-08-27T15:31:53.893Z,2019-08-27T15:39:36.571Z,2019-08-27,rad
40.8454927,14.2507609,"Via Sant'Anna dei Lombardi, 34 80134 Napoli NA Italia",BAGAGLI Eddybags,2019-08-27T15:51:15.529Z,2019-08-27T16:03:54.878Z,2019-08-27,rad
40.8433892,14.2522109,Piazza Matteotti 80133 Napoli NA Italia,OVS,2019-08-27T16:09:05.508Z,2019-08-27T16:14:32.449Z,2019-08-27,rad
40.8397066,14.2481106,"Via Trinità degli Spagnoli, 5 80132 Napoli NA Italia",Giranapoli,2019-08-27T16:21:28.286Z,2019-08-27T16:35:47.872Z,2019-08-27,rad
40.8424948,14.2489206,80133 Napoli NA Italia,Toledo,2019-08-28T10:57:38Z,2019-08-28T11:06:04.231Z,2019-08-28,good
40.8365335,14.2481451,"Piazza del Plebiscito, 22 80132 Napoli NA Italia",Territorial Office of the Government of Naples,2019-08-28T16:58:52.196Z,2019-08-28T17:08:56.808Z,2019-08-28,good
41.129669,14.782822,"Via Giovan Battista Perasso, 2 82100 Benevento BN Italia",Bar Maxim's,2019-08-28T18:49:43.261Z,2019-08-28T19:10:10.725Z,2019-08-28,good
41.1325694,14.7791458,Via Traiano 82100 Benevento BN Italia,Arch of Trajan,2019-08-28T19:12:11.908Z,2019-08-28T19:37:01.667Z,2019-08-28,good
41.1298259,14.7824491,Contrada Pontecorvo 82100 Benevento BN Italia,BAR MI PIACE,2019-08-28T19:52:38.651Z,2019-08-28T20:46:26.208Z,2019-08-28,good
41.1297057,14.7829689,"Via Giovan Battista Perasso, 32/34 Via Ennio Goduti, 4 82100 Benevento BN Italia",Ottica Russo,2019-08-28T21:07:29.251Z,2019-08-28T22:33:22.329Z,2019-08-28,good
41.129689,14.782899,6/8/10/12 Via Giovan Battista Perasso 82100 Benevento BN Italia,Young Pizza,2019-08-28T22:43:38.786Z,2019-08-28T22:51:17.200Z,2019-08-28,good
41.1273132,14.7860878,Viale Atlantici 82100 Benevento BN Italia,Babbi Cantina Caffè,2019-08-28T22:54:02.019Z,2019-08-28T23:01:05.606Z,2019-08-28,good
40.8416118,14.2489927,"Via Ponte di Tappia, 92 80133 Napoli NA Italia",Mandara,2019-08-30T11:20:31.476Z,2019-08-30T11:25:39.475Z,2019-08-30,good
40.8502217,14.2231834,"Via Simone Martini, 47 80128 Napoli NA Italia",Bar Satira 3 di Visconti Raffaele,2019-08-31T20:12:52.645Z,2019-08-31T20:20:16.191Z,2019-08-31,rad
40.849502,14.232609,"Via Guglielmo Sagrera, 11/19 80129 Napoli NA Italia",Viktoria Platz,2019-08-31T20:26:19.301Z,2019-08-31T22:32:47.566Z,2019-08-31,rad
40.8502217,14.2231834,"Via Simone Martini, 47 80128 Napoli NA Italia",Bar Satira 3 di Visconti Raffaele,2019-08-31T22:38:51.061Z,2019-08-31T22:54:10.317Z,2019-08-31,rad
40.845574,14.254644,"Via Santa Chiara, 39/a 80134 Napoli NA Italia",BEER BAR,2019-08-31T23:12:29.412Z,2019-09-01T01:00:49.435Z,2019-08-31,rad
40.8500487,14.2520346,Piazza Bellini 80138 Napoli NA Italia,Piazza Vincenzo Bellini,2019-12-01T00:03:30.711Z,2019-12-01T01:09:29.746Z,2019-12-01,rad
40.8506051,14.2308325,80128 Napoli NA Italia,Medaglie d'Oro,2019-12-01T11:44:00.260Z,2019-12-01T11:59:47.232Z,2019-12-01,rad
40.8489606,14.232319,"Via Mario Fiore, 6 80129 Napoli NA Italia",A.O.R.N. Santobono-Pausilipon - Ospedale Santobono,2019-12-01T11:59:47.232Z,2019-12-01T12:23:25.156Z,2019-12-01,rad
40.92569,14.19756,"Via Aniello Palumbo, 179 80014 Giugliano in Campania NA Italia","Via Aniello Palumbo, 179",2019-12-01T13:08:18.992Z,2019-12-01T18:30:23.627Z,2019-12-01,rad
40.8453322,14.2604631,"Università degli Studi di Napoli Via Nuova Marina, 59 80133 Napoli NA Italia",Università Degli Studi di Napoli L'Orientale - Palazzo del Mediterraneo,2019-12-04T11:27:30.589Z,2019-12-04T13:23:05.494Z,2019-12-04,good
40.8432215,14.2489647,"Via Armando Diaz, 180/B, I-80134 Napoli, Italia","Via Armando Diaz, 180/B",2019-12-04T13:36:46.372Z,2019-12-04T16:22:27.808Z,2019-12-04,good
40.8453322,14.2604631,"Università degli Studi di Napoli Via Nuova Marina, 59 80133 Napoli NA Italia",Università Degli Studi di Napoli L'Orientale - Palazzo del Mediterraneo,2019-12-05T15:30:35.711Z,2019-12-05T17:00:18Z,2019-12-05,good
